class,pcornet_code,pcornet_desc,pedsnet_code,pedsnet_name,value_as_concept_id
Language,LUG,Ganda,,,null
Language,LUI,Luiseno,,,null
Language,LUN,Lunda,,,null
Language,LUO,Luo (Kenya and Tanzania),,,null
Language,LUS,Lushai,,,null
Language,MAD,Madurese,,,null
Language,MAG,Magahi,,,null
Language,MAH,Marshallese,,,null
Language,MAI,Maithili,,,null
Language,MAK,Makasar,,,null
Language,MAL,Malayalam,,,null
Language,MAN,Mandingo,,,null
Language,MAR,Marathi,,,null
Language,MAS,Masai,,,null
Language,MDF,Moksha,,,null
Language,MDR,Mandar,,,null
Language,MEN,Mende,,,null
Language,MIC,Mi'kmaq; Micmac,,,null
Language,MIN,Minangkabau,,,null
Language,MKD,Macedonian,,,null
Language,MLG,Malagasy,,,null
Language,MLT,Maltese,,,null
Language,MNC,Manchu,,,null
Language,MNI,Manipuri,,,null
Language,MOH,Mohawk,,,null
Language,MON,Mongolian,,,null
Language,MOS,Mossi,,,null
Language,MRI,Maori,,,null
Language,MSA,Malay,,,null
Language,MUS,Creek,,,null
Language,MWL,Mirandese,,,null
Language,MWR,Marwari,,,null
Language,MYA,Burmese,4181727,Burmese language,null
Language,MYV,Erzya,,,null
Language,NAP,Neapolitan,,,null
Language,NAU,Nauru,,,null
Language,NAV,Navajo; Navaho,,,null
Language,NBL,South Ndebele,,,null
Language,NDE,North Ndebele,,,null
Language,NDO,Ndonga,,,null
Language,NDS,Low German; Low Saxon,,,null
Language,NEP,Nepali,4175908,Nepali language,null
Language,NEW,Nepal Bhasa; Newari,,,null
Language,NIA,Nias,,,null
Language,NIU,Niuean,,,null
Language,NLD,Dutch; Flemish,,,null
Language,NNO,Norwegian Nynorsk,,,null
Language,NOB,Norwegian Bokmål,,,null
Language,NOG,Nogai,,,null
Language,NOR,Norwegian,,,null
Language,NQO,N'Ko,,,null
Language,NSO,Pedi; Sepedi; Northern Sotho,,,null
Language,NYA,Chichewa; Chewa; Nyanja,,,null
Language,NYM,Nyamwezi,,,null
Language,NYN,Nyankole,,,null
Language,NYO,Nyoro,,,null
Language,NZI,Nzima,,,null
Language,OCI,Occitan (post 1500),,,null
Language,OJI,Ojibwa,,,null
Language,ORI,Oriya,,,null
Language,ORM,Oromo,,,null
Language,OSA,Osage,,,null
Language,OSS,Ossetian; Ossetic,,,null
Language,PAG,Pangasinan,,,null
Language,PAM,Pampanga; Kapampangan,,,null
Language,PAN,Panjabi; Punjabi,,,null
Language,PAP,Papiamento,,,null
Language,PAU,Palauan,,,null
Language,POL,Polish,,,null
Language,PON,Pohnpeian,,,null
Language,POR,Portuguese,4181536,Portuguese language,null
Language,PUS,Pushto; Pashto,,,null
Language,QUE,Quechua,,,null
Language,RAJ,Rajasthani,,,null
Language,RAP,Rapanui,,,null
Language,RAR,Rarotongan; Cook Islands Maori,,,null
Language,ROH,Romansh,,,null
Language,ROM,Romany,,,null
Language,RON,Romanian; Moldavian; Moldovan,,,null
Language,RUN,Rundi,,,null
Language,RUP,Aromanian; Arumanian; Macedo-Romanian,,,null
Language,RUS,Russian,4181539,Russian language,null
Language,SAD,Sandawe,,,null
Language,SAG,Sango,,,null
Language,SAH,Yakut,,,null
Language,SAS,Sasak,,,null
Language,SAT,Santali,,,null
Language,SCN,Sicilian,,,null
Language,SCO,Scots,,,null
Language,SEL,Selkup,,,null
Language,SHN,Shan,,,null
Language,SID,Sidamo,,,null
Language,SIN,Sinhala; Sinhalese,,,null
Language,SLK,Slovak,,,null
Language,SLV,Slovenian,,,null
Language,SMA,Southern Sami,,,null
Language,SME,Northern Sami,,,null
Language,SMJ,Lule Sami,,,null
Language,SMN,Inari Sami,,,null
Language,SMO,Samoan,,,null
Language,SMS,Skolt Sami,,,null
Language,SNA,Shona,,,null
Language,SND,Sindhi,,,null
Language,SNK,Soninke,,,null
Language,SOM,Somali,4182350,Somali language,null
Language,SOT,Southern Sotho,,,null
Language,SPA,Spanish; Castilian,4182511,Spanish language,null
Language,SQI,Albanian,,,null
Language,SRD,Sardinian,,,null
Language,SRN,Sranan Tongo,,,null
Language,SRP,Serbian,,,null
Language,SRR,Serer,,,null
Language,SSW,Swati,,,null
Language,SUK,Sukuma,,,null
Language,SUN,Sundanese,,,null
Language,SUS,Susu,,,null
Language,SWA,Swahili,,,null
Language,SWE,Swedish,,,null
Language,SYR,Syriac,,,null
Language,TAH,Tahitian,,,null
Language,TAM,Tamil,,,null
Language,TAT,Tatar,,,null
Language,TEL,Telugu,,,null
Language,TEM,Timne,,,null
Language,TER,Tereno,,,null
Language,TET,Tetum,,,null
Language,TGK,Tajik,,,null
Language,TGL,Tagalog,,,null
Language,THA,Thai,,,null
Language,TIG,Tigre,,,null
Language,TIR,Tigrinya,,,null
Language,TIV,Tiv,,,null
Language,TKL,Tokelau,,,null
Language,TLI,Tlingit,,,null
Language,TMH,Tamashek,,,null
Language,TOG,Tonga (Nyasa),,,null
Language,TON,Tonga (Tonga Islands),,,null
Language,TPI,Tok Pisin,,,null
Language,TSI,Tsimshian,,,null
Language,TSN,Tswana,,,null
Language,TSO,Tsonga,,,null
Language,TUK,Turkmen,,,null
Language,TUM,Tumbuka,,,null
Language,TUR,Turkish,,,null
Language,TVL,Tuvalua,,,null
Language,TWI,Twi,,,null
Language,TYV,Tuvinian,,,null
Language,UDM,Udmurt,,,null
Language,UIG,Uighur; Uyghur,,,null
Language,UKR,Ukrainian,,,null
Language,UMB,Umbundu,,,null
Language,URD,Urdu,,,null
Language,UZB,Uzbek,,,null
Language,VAI,Vai,,,null
Language,VEN,Venda,,,null
Language,VIE,Vietnamese,4181526,Vietnamese language,null
Language,VOT,Votic,,,null
Language,WAL,Wolaitta; Wolaytta,,,null
Language,WAR,Waray,,,null
Language,WAS,Washo,,,null
Language,WLN,Walloon,,,null
Language,WOL,Wolof,,,null
Language,XAL,Kalmyk; Oirat,,,null
Language,XHO,Xhosa,,,null
Language,YAO,Yao,,,null
Language,YAP,Yapese,,,null
Language,YID,Yiddish,,,null
Language,YOR,Yoruba,,,null
Language,ZAP,Zapotec,,,null
Language,ZEN,Zenaga,,,null
Language,ZGH,Standard Moroccan Tamazight,,,null
Language,ZHA,Zhuang; Chuang,,,null
Language,ZHO,Chinese,4182948,Chinese Language,null
Language,ZHO,Chinese,4177463,Cantonese Chinese dialect,null
Language,ZHO,Chinese,4181724,Mandarin dialect,null
Language,ZUL,Zulu,,,null
Language,ZUN,Zuni,,,null
Language,ZZA,Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki,,,null
Language,NI,No information,44814650,No information,null
Language,UN,Unknown,44814653,Unknown,null
Language,OT,Other,44814649,Other,null
Language,OT,Other,40483152,Sign language,null
