class,pcornet_code,pcornet_name,pedsnet_code,pedsnet_name
Route,INTRAJEJUNAL,Intrajejunal route (qualifier value),,
Route,INTRALESIONAL,Intralesional route (qualifier value),4157758,Intralesional
Route,INTRALINGUAL,Intralingual route (qualifier value),,
Route,INTRALUMINAL,Intraluminal route (qualifier value),,
Route,INTRALYMPHATIC,Intralymphatic route (qualifier value),4157759,Intralymphatic
Route,INTRAMAMMARY,Intramammary route (qualifier value),,
Route,INTRAMEDULLARY,Intramedullary route (qualifier value),,
Route,INTRAMENINGEAL,Intrameningeal route (qualifier value),,
Route,INTRAMURAL,Intramural route (qualifier value),,
Route,INTRAMUSCULAR,Intramuscular route (qualifier value),4302612,Intramuscular
Route,INTRAMYOMETRIAL,Intramyometrial route (qualifier value),,
Route,INTRANEURAL,Intraneural route (qualifier value),,
Route,INTRAOCULAR,Intraocular route (qualifier value),4157760,Intraocular
Route,INTRAOSSEOUS,Intraosseous route (qualifier value),4213522,Intraosseous
Route,INTRAOVARIAN,Intraovarian route (qualifier value),,
Route,INTRAPERICARDIAL,Intrapericardial route (qualifier value),,
Route,INTRAPERITONEAL,Intraperitoneal route (qualifier value),4213522,Intraosseous
Route,INTRAPLEURAL,Intrapleural route (qualifier value),4156707,Intrapleural
Route,INTRAPROSTATIC,Intraprostatic route (qualifier value),,
Route,INTRAPULMONARY,Intrapulmonary route (qualifier value),,
Route,INTRASINAL,Intrasinal route (qualifier value),,
Route,INTRASPINAL,Intraspinal route (qualifier value),,
Route,INTRASTERNAL,Intrasternal route (qualifier value),4156707,Intrapleural
Route,INTRASYNOVIAL,Intrasynovial route (qualifier value),,
Route,INTRATENDINOUS,Intratendinous route (qualifier value),,
Route,INTRATESTICULAR,Intratesticular route (qualifier value),,
Route,INTRATHECAL,Intrathecal route (qualifier value),4217202,Intrathecal
Route,INTRATHORACIC,Intrathoracic route (qualifier value),,
Route,INTRATRACHEAL,Intratracheal route (qualifier value),,
Route,INTRATUMOR,Intratumor route (qualifier value),40491322,Intratumoral
Route,INTRATYMPANIC,Intratympanic route (qualifier value),,
Route,INTRAUTERINE,Intrauterine route (qualifier value),4269621,Intrauterine
Route,INTRAVASCULAR,Intravascular route (qualifier value),,
Route,INTRAVENOUS_CENTRAL,Intravenous central route (qualifier value),,
Route,INTRAVENOUS_PERIPHERAL,Intravenous peripheral route (qualifier value),,
Route,INTRAVENOUS,Intravenous route (qualifier value),4112421,Intravenous
Route,INTRAVENOUS,Intravenous route (qualifier value),4171047,Intravenous
Route,INTRAVENTRICULAR___CARDIAC,Intraventricular route - cardiac (qualifier value),4222259,Intraventricular cardiac
Route,INTRAVESICAL,Intravesical route (qualifier value),4186838,Intravesical
Route,INTRAVITREAL,Intravitreal route (qualifier value),4302785,Intravitreal
Route,JEJUNOSTOMY,Jejunostomy route (qualifier value),,
Route,LARYNGEAL,Laryngeal route (qualifier value),,
Route,LOWER_RESPIRATORY_TRACT,Lower respiratory tract route (qualifier value),,
Route,MUCOUS_FISTULA,Mucous fistula route (qualifier value),,
Route,NASAL,Nasal route (qualifier value),4128792,Nasal
Route,NASAL,Nasal route (qualifier value),4262914,Nasal
Route,NASODUODENAL,Nasoduodenal route (qualifier value),,
Route,NASOGASTRIC,Nasogastric route (qualifier value),,
Route,NASOJEJUNAL,Nasojejunal route (qualifier value),,
Route,NI,No information,44814650�,
Route,OPHTHALMIC,Ophthalmic route (qualifier value),,
Route,ORAL,Oral route (qualifier value),4128794,Oral
Route,ORAL,Oral route (qualifier value),4132161,Oral
Route,OROGASTRIC,Orogastric route (qualifier value),,
Route,OROMUCOSAL,Oromucosal route (qualifier value),4186839,Oromucosal
Route,OROPHARYNGEAL,Oropharyngeal route (qualifier value),,
Route,OT,Other,,
Route,OTIC,Otic route (qualifier value),,
Route,PARACERVICAL,Paracervical route (qualifier value),,
Route,PARAVERTEBRAL,Paravertebral route (qualifier value),,
Route,PERCUTANEOUS,Percutaneous route (qualifier value),,
Route,PERIARTICULAR,Periarticular route (qualifier value),4156708,Periarticular
Route,PERIBULBAR,Peribulbar route (qualifier value),,
Route,PERIDURAL,Peridural route (qualifier value),,
Route,PERINEURAL,Perineural route (qualifier value),4157761,Perineural
Route,PERIODONTAL,Periodontal route (qualifier value),,
Route,PERIOSTEAL,Periosteal route (qualifier value),,
Route,PERITENDINOUS,Peritendinous route (qualifier value),,
Route,PERIURETHRAL,Periurethral route (qualifier value),,
Route,RECTAL,Rectal route (qualifier value),4115462,Rectal
Route,RECTAL,Rectal route (qualifier value),4290759,Rectal
Route,RESPIRATORY_TRACT,Respiratory tract route (qualifier value),,
Route,RETROBULBAR,Retrobulbar route (qualifier value),,
Route,SUBCONJUNCTIVAL,Subconjunctival route (qualifier value),4163770,Subconjunctival
Route,SUBCUTANEOUS,Subcutaneous route (qualifier value),4139962,Subcutaneous
Route,SUBCUTANEOUS,Subcutaneous route (qualifier value),4139962,Subcutaneous
Route,SUBGINGIVAL,Subgingival route (qualifier value),,
Route,SUBLESIONAL,Sublesional route (qualifier value),,
Route,SUBLINGUAL,Sublingual route (qualifier value),4292110,Sublingual
Route,SUBMUCOSAL,Submucosal route (qualifier value),45956878,Submucosal rectal
Route,SUBORBITAL,Suborbital route (qualifier value),,
Route,SUBTENDINOUS,Subtendinous route (qualifier value),,
Route,SURGICAL_CAVITY,Surgical cavity route (qualifier value),,
Route,SURGICAL_DRAIN,Surgical drain route (qualifier value),,
Route,TOPICAL,Topical route (qualifier value),4231622,Topical
Route,TRANSCERVICAL,Transcervical route (qualifier value),,
Route,TRANSDERMAL,Transdermal route (qualifier value),4262099,Transdermal
Route,TRANSENDOCARDIAL,Transendocardial route (qualifier value),,
Route,TRANSMUCOSAL,Transmucosal route (qualifier value),,
Route,TRANSPLACENTAL,Transplacental route (qualifier value),,
Route,TRANSTRACHEAL,Transtracheal route (qualifier value),,
Route,TRANSTYMPANIC,Transtympanic route (qualifier value),,
Route,TRANSURETHRAL,Transurethral route (qualifier value),,
Route,TUMOR_CAVITY,Tumor cavity route (qualifier value),,
Route,UN,Unknown,,
Route,URETERAL,Ureteral route (qualifier value),,
Route,URETHRAL,Urethral route (qualifier value),4233974,Urethral
Route,UROSTOMY,Urostomy route (qualifier value),,
Route,VAGINAL,Vaginal route (qualifier value),4057765,Vaginal
