class,pcornet_code,pcornet_name,pedsnet_code,pedsnet_name
Payer,313,Dental --Stand Alone,,
Payer,32,Department of Veterans Affairs,,
Payer,321,Veteran care--Care provided to Veterans,,
Payer,3211,Direct Care--Care provided in VA facilities,,
Payer,3212,Indirect Care--Care provided outside VA facilities,,
Payer,32121,Fee Basis,,
Payer,32122,Foreign Fee/Foreign Medical Program (FMP),,
Payer,32123,Contract Nursing Home/Community Nursing Home,,
Payer,32124,State Veterans Home,,
Payer,32125,Sharing Agreements,,
Payer,32126,Other Federal Agency,,
Payer,32127,Dental Care,,
Payer,32128,Vision Care,,
Payer,322,Non-veteran care,,
Payer,3221,Civilian Health and Medical Program for the VA (CHAMPVA),,
Payer,3222,Spina Bifida Health Care Program (SB),,
Payer,3223,Children of Women Vietnam Veterans (CWVV),,
Payer,3229,Other non-veteran care,,
Payer,33,Indian Health Service or Tribe,,
Payer,331,Indian Health Service  Regular,,
Payer,332,Indian Health Service  Contract,,
Payer,333,Indian Health Service - Managed Care,,
Payer,334,Indian Tribe - Sponsored Coverage,,
Payer,34,HRSA Program,,
Payer,341,Title V (MCH Block Grant),,
Payer,342,Migrant Health Program,,
Payer,343,Ryan White Act,,
Payer,349,Other,,
Payer,35,Black Lung,,
Payer,36,State Government,,
Payer,361,State SCHIP program (codes for individual states),,
Payer,362,Specific state programs (list/ local code),,
Payer,369,"State, not otherwise specified (other state)",,
Payer,37,Local Government,,
Payer,371,Local - Managed care,,
Payer,3711,HMO,,
Payer,3712,PPO,,
Payer,3713,POS,,
Payer,372,FFS/Indemnity,,
Payer,379,"Local, not otherwise specified (other local, county)",,
Payer,38,"Other Government (Federal, State, Local not specified)",,
Payer,381,"Federal, State, Local not specified managed care",,
Payer,3811,"Federal, State, Local not specified - HMO",,
Payer,3812,"Federal, State, Local not specified - PPO",,
Payer,3813,"Federal, State, Local not specified - POS",,
Payer,3819,"Federal, State, Local not specified - not specified managed care",,
Payer,382,"Federal, State, Local not specified - FFS",,
Payer,389,"Federal, State, Local not specified - Other",,
Payer,39,Other Federal,,
Payer,391,Federal Employee Health Plan  Use when known.,,
Payer,4,DEPARTMENTS OF CORRECTIONS,,
Payer,41,Corrections Federal,,
Payer,42,Corrections State,,
Payer,43,Corrections Local,,
Payer,44,Corrections Unknown Level,,
Payer,5,PRIVATE HEALTH INSURANCE,,
Payer,51,Managed Care (Private),,
Payer,511,Commercial Managed Care - HMO,Private/Commercial-HMO,
Payer,512,Commercial Managed Care - PPO,Private/Commercial-PPO,
Payer,513,Commercial Managed Care - POS,Private/Commercial-POS,
Payer,514,Exclusive Provider Organization,,
Payer,515,Gatekeeper PPO (GPPO),,
Payer,516,Commercial Managed Care - Pharmacy Benefit Manager,,
Payer,517,Commercial Managed Care - Dental,,
Payer,519,"Managed Care, Other (non HMO)",,
Payer,52,Private Health Insurance - Indemnity,,
Payer,521,Commercial Indemnity,,
Payer,522,Self-insured (ERISA) Administrative Services Only (ASO) plan,,
Payer,523,Medicare supplemental policy (as second payer),,
Payer,524,Indemnity Insurance - Dental,,
Payer,529,Private health insuranceother commercial Indemnity,,
Payer,53,"Managed Care (private) or private health insurance (indemnity), not otherwise specified",,
Payer,54,Organized Delivery System,,
Payer,55,Small Employer Purchasing Group,,
Payer,56,Specialized Stand Alone Plan,,
Payer,561,Dental,,
Payer,562,Vision Other Private Insurance,,
Payer,6,BLUE CROSS/BLUE SHIELD,,
Payer,61,BC Managed Care,,
Payer,611,BC Managed Care  HMO,,
Payer,612,BC Managed Care  PPO,,
Payer,613,BC Managed Care  POS,,
Payer,614,BC Managed Care - Dental,,
Payer,619,BC Managed Care  Other,,
Payer,62,BC Insurance Indemnity,,
Payer,621,BC Indemnity,,
Payer,622,BC Self-insured (ERISA) Administrative Services Only (ASO)Plan,,
Payer,623,BC Medicare Supplemental Plan,,
Payer,629,BC Indemnity - Dental,,
Payer,7,"MANAGED CARE, UNSPECIFIED (to be used only if one can't distinguish public from private)",,
Payer,71,HMO,Other/Unknown-HMO,
Payer,72,PPO,Other/Unknown-PPO,
Payer,73,POS,Other/Unknown-POS,
Payer,79,Other Managed Care,,
Payer,8,NO PAYMENT from an Organization/Agency/Program/Private Payer Listed,,
Payer,81,Self-pay,Self-pay-Other/Unknown,
Payer,82,No Charge,,
Payer,821,Charity,,
Payer,822,Professional Courtesy,,
Payer,823,Research/Clinical Trial,,
Payer,83,Refusal to Pay/Bad Debt,,
Payer,84,Hill Burton Free Care,,
Payer,85,Research/Donor,,
Payer,89,"No Payment, Other",,
Payer,9,MISCELLANEOUS/OTHER,,
Payer,91,Foreign National,,
Payer,92,Other (Non-government),,
Payer,93,Disability Insurance,,
Payer,94,Long-term Care Insurance,,
Payer,95,Worker's Compensation,,
Payer,951,Worker's Comp HMO,,
Payer,953,Worker's Comp Fee-for-Service,Other/Unknown-Fee for service,
Payer,954,Workers Comp Other Managed Care,,
Payer,959,"Worker's Comp, Other unspecified",,
Payer,96,Auto Insurance (includes no fault),,
Payer,97,Legal Liability / Liability Insurance,,
Payer,98,Other specified but not otherwise classifiable (includes Hospice - Unspecified plan),,
Payer,99,No Typology Code available for payment source,,
Payer,9999,Unavailable / No Payer Specified / Blank,Other/Unknown-Other/Unknown,
