class,pcornet_code,pcornet_name,pedsnet_code,pedsnet_name
Rx Dose Form,SUBLINGUAL_TABLET,Sublingual Tablet,19082285,Sublingual Tablet
Rx Dose Form,SUSTAINED_RELEASE_BUCCAL_TABLET,Sustained Release Buccal Tablet,19082222,Sustained Release Buccal Tablet
Rx Dose Form,TOOTHPASTE,Toothpaste,19009068,Toothpaste
Rx Dose Form,TOPICAL_CREAM,Topical Cream,19082224,Topical Cream
Rx Dose Form,TOPICAL_FOAM,Topical Foam,19095972,Topical Foam
Rx Dose Form,TOPICAL_GEL,Topical Gel(Topical Jelly),19095973,Topical Gel
Rx Dose Form,TOPICAL_LOTION,Topical Lotion,19082225,Topical Lotion
Rx Dose Form,TOPICAL_OIL,Topical Oil,19082226,Topical Oil
Rx Dose Form,TOPICAL_OINTMENT,Topical Ointment,19082227,Topical Ointment
Rx Dose Form,TOPICAL_POWDER,Topical Powder,19082286,Topical Powder
Rx Dose Form,TOPICAL_SOLUTION,Topical Solution(Tincture; Liniment),19082228,Topical Solution
Rx Dose Form,TOPICAL_SPRAY,Topical Spray(Dermal Spray),19095912,Topical Spray
Rx Dose Form,TRANSDERMAL_PATCH,Transdermal Patch,,
Rx Dose Form,URETHRAL_GEL,Urethral Gel(Urethral Jelly),19095974,Urethral Gel
Rx Dose Form,URETHRAL_SUPPOSITORY,Urethral Suppository,19082575,Urethral Suppository
Rx Dose Form,VAGINAL_CREAM,Vaginal Cream,19010878,Vaginal Cream
Rx Dose Form,VAGINAL_FOAM,Vaginal Foam,19010879,Vaginal Foam
Rx Dose Form,VAGINAL_GEL,Vaginal Gel(Vaginal Jelly),19010880,Vaginal Gel
Rx Dose Form,VAGINAL_OINTMENT,Vaginal Ointment,19082287,Vaginal Ointment
Rx Dose Form,VAGINAL_POWDER,Vaginal Powder,19082230,Vaginal Powder
Rx Dose Form,VAGINAL_RING,Vaginal Ring,40167393,Vaginal Ring
Rx Dose Form,VAGINAL_SPRAY,Vaginal Spray,19112649,Vaginal Spray
Rx Dose Form,VAGINAL_SUPPOSITORY,Vaginal Suppository,19093368,Vaginal Suppository
Rx Dose Form,VAGINAL_TABLET,Vaginal Tablet,19010962,Vaginal Tablet
Rx Dose Form,WAFER,Wafer,,
Rx Dose Form,NI,No information,44814650,No information
Rx Dose Form,UN,Unknown,44814653,unknown
Rx Dose Form,OT,Other,44814649,Other
