source_concept_class,target_concept,pcornet_name,source_concept_id,concept_description,value_as_concept_id
Specimen concept,,,4196017,Specimen from fallopian tube obtained by fine needle aspiration biopsy,
Specimen concept,BLD,,4047497,Blood specimen from blood donor,
Specimen concept,,,4158565,Breast cytologic material obtained by percutaneous core biopsy,
Specimen concept,,,40489828,Tissue specimen from amniotic membrane,
Specimen concept,,,4161146,Tissue specimen from ureter,
Specimen concept,,,45511997,Gastric aspirate sample,
Specimen concept,,,46270171,Specimen from left lung obtained by blind bronchioloalveolar lavage procedure,
Specimen concept,,,4124258,Bursa fluid sample,
Specimen concept,,,4045886,Specimen from left lobe of thyroid obtained by lobe resection,
Specimen concept,,,4206595,Minor salivary gland sample,
Specimen concept,,,4043942,Peritoneal fluid sample,
Specimen concept,CVX_VAG,,4206436,Cervical biopsy sample,
Specimen concept,,,4330925,Specimen from maxillary sinus obtained by irrigation,
Specimen concept,,,46270194,Extradural lesion sample,
Specimen concept,,,46270239,Specimen from right upper lobe of lung obtained by endobronchial biopsy,
Specimen concept,,,46270299,Liquid stool specimen,
Specimen concept,CVX_VAG,,40489834,Tissue specimen from cervical lymph node,
Specimen concept,,,45766965,Animal head specimen,
Specimen concept,,,4206431,Cystectomy sample,
Specimen concept,,,4183915,Tissue specimen obtained for Hodgkin's disease by biopsy,
Specimen concept,,,43021787,Settle culture plate submitted as specimen,
Specimen concept,SER,,45912144,Serum,
Specimen concept,,,4199231,Specimen from mesentery obtained by fine needle aspiration biopsy,
Specimen concept,,,46270309,Renal washings,
Specimen concept,,,46274133,Specimen from right lower lobe of lung obtained by bronchial washing procedure,
Specimen concept,,,4120333,Vitreous humor sample,
Specimen concept,,,37016236,Specimen from prostate obtained by subtotal prostatectomy,
Specimen concept,,,46270177,Body fluid specimen obtained via Jackson-Pratt drain,
Specimen concept,,,4205088,Specimen from kidney obtained by excision,
Specimen concept,,,40480466,Specimen from abdominal cavity structure obtained by fine needle aspiration biopsy,
Specimen concept,,,4204155,Nerve ganglion specimen,
Specimen concept,,,45472165,Lymph sample,
Specimen concept,BODY_FLD,,4004349,Cerebroventricular fluid cytologic material,
Specimen concept,,,4120337,Hydrocele fluid sample,
Specimen concept,,,46270191,Hydrocele sample obtained by fine needle aspiration,
Specimen concept,,,4048983,Specimen from right kidney obtained by partial nephrectomy,
Specimen concept,,,4049111,Specimen from fallopian tube obtained by excision of tubal fragments,
Specimen concept,BLD,,4048853,Serum specimen from blood donor,
Specimen concept,,,4023412,"Thyroid cytologic material, processed intraoperatively",
Specimen concept,,,45766337,Tissue specimen from nodule,
Specimen concept,CVX_VAG,,4170963,Cervical smear sample,
Specimen concept,,,44809712,Sample from paediatric patient,
Specimen concept,,,4161400,Specimen from retroperitoneum,
Specimen concept,,,4183746,Tissue specimen obtained from gallbladder by biopsy,
Specimen concept,,,4045670,"Blood bag specimen, from patient",
Specimen concept,,,46270287,Vaginal discharge specimen,
Specimen concept,,,4205249,Total nephrectomy sample,
Specimen concept,,,4206291,Tendon biopsy sample,
Specimen concept,,,4256485,Upper respiratory fluid sample,
Specimen concept,,,46273224,Two hours specimen,
Specimen concept,,,4332242,Specimen from artery obtained by biopsy,
Specimen concept,,,4219033,Specimen from vulva obtained by total vulvectomy,
Specimen concept,,,43531265,Specimen from skin,
Specimen concept,,,4202794,Endometrial resection sample,
Specimen concept,BODY_FLD,,4119548,Intravenous lipid infusion fluid sample,
Specimen concept,,,4265299,Specimen from pericardium obtained by pericardial resection,
Specimen concept,,,45428709,Hand joint synovial fluid,
Specimen concept,,,4046846,Specimen from lung obtained by fiberoptic bronchoscopic biopsy,
Specimen concept,,,4262732,Lymph node from regional lymph node dissection,
Specimen concept,,,4197196,Body secretion specimen,
Specimen concept,,,40490357,Specimen from granulation tissue,
Specimen concept,,,4124264,Sinus fluid sample,
Specimen concept,,,4119541,Maggot sample,
Specimen concept,,,4001347,Blood bag specimen,
Specimen concept,,,4120336,Gastric fluid sample,
Specimen concept,,,4202781,Gastric fundus biopsy sample,
Specimen concept,,,4119516,Cervical swab,
Specimen concept,,,4206411,Oral tissue sample,
Specimen concept,,,4265166,Specimen from anus obtained by abdominoperineal resection,
Specimen concept,,,44792621,Pancreas resection sample,
Specimen concept,URINE,,763268,First void urine specimen,
Specimen concept,TISSUE,,4204939,Soft tissue biopsy sample,
Specimen concept,,,45418890,Synovial fluid: joint NOS,
Specimen concept,,,4133743,Tissue specimen from kidney,
Specimen concept,BLD,,4001346,Specimen from blood product,
Specimen concept,,,40482632,p.m. specimen,
Specimen concept,,,40483336,Cerebrospinal fluid specimen from ventricle of brain,
Specimen concept,,,46270185,Branchial cleft cyst sample,
Specimen concept,,,4000612,Plant specimen,
Specimen concept,,,4203826,Fluid specimen from spermatocele,
Specimen concept,,,4326334,Sputum cytologic material,
Specimen concept,BLD,,4000615,Implantable venous catheter specimen,
Specimen concept,BODY_FLD,,4124261,Ileostomy fluid sample,
Specimen concept,,,4000627,Platelet poor plasma specimen,
Specimen concept,,,4132243,Specimen from esophagus,
Specimen concept,,,4122375,Semi-skimmed milk sample,
Specimen concept,,,4045778,Specimen from pancreatic body obtained by partial resection,
Specimen concept,,,4046950,Specimen from right ovary obtained by salpingo-oophorectomy,
Specimen concept,,,4122248,Tumor tissue sample,
Specimen concept,,,4004338,Pericardial cytologic material,
Specimen concept,,,4119522,Prosthetic heart valve sample,
Specimen concept,,,764568,Apheresis fluid,
Specimen concept,,,42535870,Specimen from mass of subcutaneous tissue,
Specimen concept,,,4045770,Specimen from lung obtained by mediastinoscopic biopsy,
Specimen concept,,,4120215,Smear sample,
Specimen concept,,,4002896,Specimen from penis,
Specimen concept,URINE,,4007441,Urethra cytologic material,
Specimen concept,,,37016226,Brain neoplasm tissue sample,
Specimen concept,,,4120347,Wound swab,
Specimen concept,,,44792591,Wash out specimen,
Specimen concept,,,4161165,Specimen from thyroid obtained by thyroidectomy,
Specimen concept,,,4204350,Anal resection sample,
Specimen concept,,,46270249,Specimen obtained from breast by ultrasound guided needle biopsy,
Specimen concept,,,46270265,Endocardium biopsy sample,
Specimen concept,BLD,,44808075,Whole blood specimen with edetic acid,
Specimen concept,TISSUE,,4027391,Tissue specimen from stomach,
Specimen concept,,,46270260,Specimen from breast duct obtained by excision,
Specimen concept,,,45485433,Finger joint synovial fluid,
Specimen concept,,,44793344,Formalin fixed paraffin embedded tissue specimen,
Specimen concept,,,4270454,Specimen from uterine cervix obtained by cone biopsy,
Specimen concept,,,4122247,Rectal snip sample,
Specimen concept,,,46270272,Duodenal brushings sample,
Specimen concept,,,4204944,Bursa biopsy sample,
Specimen concept,,,764575,Donor lymphocytes for infusion,
Specimen concept,URINE,,40492863,Suprapubic urine specimen,
Specimen concept,,,4056981,Finger joint synovial fluid,
Specimen concept,,,4119539,Sputum specimen obtained by aspiration,
Specimen concept,,,44806866,Plasma specimen with citrate,
Specimen concept,URINE,,43021763,Umbilical artery catheter submitted as specimen,
Specimen concept,,,40489855,Cerebrospinal fluid specimen obtained via ventriculoperitoneal shunt,
Specimen concept,,,4164013,Tissue specimen from thymus gland,
Specimen concept,,,43021084,Swab from peritoneal cavity structure,
Specimen concept,,,4121346,Sputum specimen obtained from sputum suction trap,
Specimen concept,,,4161156,Tissue specimen from trophoblast,
Specimen concept,,,40481576,Peritoneal dialysis fluid specimen obtained before dialysis,
Specimen concept,BODY_FLD,,45485432,Synovial fluid source,
Specimen concept,,,46270248,Specimen from lingula obtained by endobronchial biopsy,
Specimen concept,,,43021135,Device submitted as specimen,
Specimen concept,URINE,,43021957,Vascular catheter submitted as specimen,
Specimen concept,,,4049109,Specimen from ovary obtained by subtotal left oophorectomy,
Specimen concept,,,43021768,Central venous catheter from internal jugular vein submitted as specimen,
Specimen concept,,,44783804,Anterior nares swab,
Specimen concept,,,4134116,Tissue specimen from urethra,
Specimen concept,,,4046833,Blood specimen obtained from umbilicus,
Specimen concept,,,46270257,Specimen from left upper lobe of lung obtained by bronchial washing procedure,
Specimen concept,,,4200625,Specimen from ear obtained by fine needle aspiration biopsy,
Specimen concept,,,44792550,Liver transplant biopsy sample,
Specimen concept,,,4119544,Venous cannula tip,
Specimen concept,,,4188549,Breast cytologic material obtained by incisional biopsy,
Specimen concept,BODY_FLD,,45451927,Fluid sample NOS,
Specimen concept,,,4120352,Genetic sample,
Specimen concept,,,4045763,Peritoneal dialysis fluid specimen,
Specimen concept,,,46270237,Genital fluid specimen,
Specimen concept,,,46270255,Bartholin's gland fluid specimen,
Specimen concept,,,4204192,Tendon sample,
Specimen concept,BODY_FLD,,4202777,Gastrointestinal fluid sample,
Specimen concept,,,4205806,Lipoma biopsy sample,
Specimen concept,CSF,,4007442,Cerebrospinal fluid cytologic material,
Specimen concept,BODY_FLD,,4043431,Multiple joint synovial fluid,
Specimen concept,,,4245001,Specimen from uterine cervix obtained by excision of cervix,
Specimen concept,,,40480421,Specimen from testis obtained by fine needle aspiration biopsy,
Specimen concept,,,4204942,Cartilage sample,
Specimen concept,TISSUE,,44793344,Formalin fixed paraffin embedded tissue specimen,
Specimen concept,,,4048975,Specimen from colon obtained by left hemicolectomy,
Specimen concept,BODY_FLD,,4048848,Pericardial fluid specimen,
Specimen concept,,,4043941,Colostomy fluid sample,
Specimen concept,,,4048981,Specimen from kidney obtained by fine needle aspiration procedure,
Specimen concept,,,40492863,Suprapubic urine specimen,
Specimen concept,TISSUE,,4134116,Tissue specimen from urethra,
Specimen concept,,,4162500,Specimen from salivary gland obtained by biopsy,
Specimen concept,,,4270466,Specimen from uterus obtained by dilation and curettage,
Specimen concept,,,43021763,Umbilical artery catheter submitted as specimen,
Specimen concept,,,37116681,Specimen from lesion of perianal region obtained by scraping,
Specimen concept,,,4206132,Partial colectomy sample,
Specimen concept,,,4046840,Genital mucus specimen,
Specimen concept,,,43021087,Swab from ulcer,
Specimen concept,,,43021957,Vascular catheter submitted as specimen,
Specimen concept,BLD,,44808078,Whole blood specimen with perchlorate,
Specimen concept,BLD,,40486473,Blood specimen obtained for blood culture,
Specimen concept,,,4007935,Lower urinary tract cytologic material,
Specimen concept,BODY_FLD,,4120340,Prostatic massage fluid sample,
Specimen concept,TISSUE,,4161156,Tissue specimen from trophoblast,
Specimen concept,TISSUE,,4164013,Tissue specimen from thymus gland,
Specimen concept,,,44804274,Skull sample,
Specimen concept,URINE,,43021768,Central venous catheter from internal jugular vein submitted as specimen,
Specimen concept,,,4119540,Sputum specimen obtained by sputum induction,
Specimen concept,URINE,,4134116,Tissue specimen from urethra,
Specimen concept,,,4219035,Specimen from renal pelvis obtained by nephroureterectomy,
Specimen concept,,,763268,First void urine specimen,
Specimen concept,,,4133175,Specimen from pancreas,
Specimen concept,,,43531169,Specimen from endocrine gland,
Specimen concept,,,4045765,"Specimen from breast obtained by complete excision, less than total mastectomy, with axillary contents",
Specimen concept,,,43021090,Swab from uterus,
Specimen concept,BODY_FLD,,40492348,Dialysis fluid specimen obtained after continuous ambulatory peritoneal dialysis,
Specimen concept,,,4048977,Specimen from ampulla of Vater obtained by ampullectomy,
Specimen concept,,,46270284,Aortic valve specimen obtained by lavage,
Specimen concept,BODY_FLD,,764444,Fluid specimen from pelvis,
Specimen concept,,,764128,Pre-partum vaginal blood specimen,
Specimen concept,,,46270244,Specimen from right lung obtained by fine needle aspiration procedure,
Specimen concept,,,40488847,Specimen from knee joint obtained by aspiration,
Specimen concept,,,4305551,Environmental swab,
Specimen concept,,,764477,Cultured cells specimen,
Specimen concept,,,4206413,Ascitic fluid sample,
Specimen concept,,,42535894,Specimen from mass of inguinal lymph node,
Specimen concept,,,45451924,Peritoneal dialysis sample,
Specimen concept,,,43021145,Bottle submitted as specimen,
Specimen concept,TISSUE,,4133743,Tissue specimen from kidney,
Specimen concept,,,4204936,Female genital sample,
Specimen concept,,,40480050,Ribonucleic acid specimen,
Specimen concept,,,4122266,Vulval swab,
Specimen concept,,,4204939,Soft tissue biopsy sample,
Specimen concept,PLAS,,44808072,Plasma specimen with fluoride oxalate,
Specimen concept,,,4027391,Tissue specimen from stomach,
Specimen concept,,,4204179,Endocrine sample,
Specimen concept,,,4206375,Specimen from prosthetic device,
Specimen concept,,,4331228,Specimen from mediastinum obtained by fine needle aspiration biopsy,
Specimen concept,TISSUE,,42535870,Specimen from mass of subcutaneous tissue,
Specimen concept,TISSUE,,37016226,Brain neoplasm tissue sample,
Specimen concept,,,4049107,Specimen from ovary obtained by subtotal right oophorectomy,
Specimen concept,BODY_FLD,,4324339,Biliary fluid specimen obtained by drainage,
Specimen concept,BODY_FLD,,4132796,Amniocentesis fluid sample,
Specimen concept,,,46270295,Specimen from parotid gland obtained by biopsy,
Specimen concept,,,46271007,Paint chip sample,
Specimen concept,,,4264125,Specimen from small intestine obtained by polypectomy,
Specimen concept,,,4007441,Urethra cytologic material,
Specimen concept,BLD,,762635,Bloody stool specimen,
Specimen concept,TISSUE,,4122248,Tumor tissue sample,
Specimen concept,,,4120211,Oropharyngeal aspirate,
Specimen concept,BLD,,44808076,Whole blood specimen with heparin,
Specimen concept,,,4006631,Cutaneous cytologic material,
Specimen concept,,,4122283,Whole blood sample,
Specimen concept,,,4122254,Fecal fluid sample,
Specimen concept,,,4188644,Lymph node from sentinel lymph node dissection,
Specimen concept,,,46270236,Frozen tissue section sample,
Specimen concept,,,4119667,Adhesive slide,
Specimen concept,,,4264706,Specimen from vagina obtained by partial vaginectomy,
Specimen concept,,,4160551,Specimen from trunk,
Specimen concept,BLD,,4119511,Swab of line insertion site,
Specimen concept,,,40480027,Formalin-fixed paraffin-embedded tissue specimen,
Specimen concept,,,46270172,Specimen from right lung obtained by blind bronchioloalveolar lavage procedure,
Specimen concept,,,4122259,Nasopharyngeal swab,
Specimen concept,BODY_FLD,,4056979,Elbow joint synovial fluid,
Specimen concept,,,37016229,Specimen from liver obtained by partial lobectomy,
Specimen concept,PLAS,,4046842,Platelet poor plasma specimen from control,
Specimen concept,,,4213277,Specimen from skin obtained by elliptical excision,
Specimen concept,,,46270201,Specimen from breast obtained by resection of anterior margin,
Specimen concept,,,4163555,Specimen from eye obtained by complete exenteration,
Specimen concept,,,46273994,Seventy minutes specimen,
Specimen concept,,,4119525,Rectal scrapes,
Specimen concept,,,44806865,Plasma specimen with EDTA,
Specimen concept,,,4326843,Core sample of tissue block,
Specimen concept,,,4048854,Serum specimen from patient,
Specimen concept,,,4204319,Parathyroid biopsy sample,
Specimen concept,,,42536916,Swab of vascular catheter insertion site,
Specimen concept,BLD,,45766303,Venous plasma specimen,
Specimen concept,,,4161915,Specimen from lip obtained by fine needle aspiration biopsy,
Specimen concept,,,43021106,Swab from appendix,
Specimen concept,,,4333073,Specimen from ear obtained by biopsy,
Specimen concept,,,4001354,Tissue specimen from skin,
Specimen concept,,,4329389,Specimen from spinal cord obtained by biopsy,
Specimen concept,BODY_FLD,,4056980,Hand joint synovial fluid,
Specimen concept,,,763166,Vegetable AND/OR fruit specimen,
Specimen concept,,,4001064,Seminal plasma specimen,
Specimen concept,BODY_FLD,,4000624,Dialysis fluid specimen,
Specimen concept,,,42539680,Serum specimen from control,
Specimen concept,,,762923,Tissue specimen from mass,
Specimen concept,BODY_FLD,,40486922,Drainage fluid specimen obtained after surgical placement of drain,
Specimen concept,,,4206409,Bronchial biopsy sample,
Specimen concept,,,4287180,Specimen from eye obtained by enucleation,
Specimen concept,TISSUE,,4132708,Tissue specimen from thyroid gland,
Specimen concept,,,4204962,Colectomy sample,
Specimen concept,,,42535833,Specimen from jejunostomy stoma,
Specimen concept,TISSUE,,4133747,Tissue specimen from uterine cervix,
Specimen concept,,,4000614,Tube specimen,
Specimen concept,,,4120339,Edema fluid sample,
Specimen concept,,,4002884,Lymphocyte specimen,
Specimen concept,BODY_FLD,,4105828,Red blood cell fluid sample,
Specimen concept,,,4245368,Specimen from adrenal gland obtained by partial adrenalectomy,
Specimen concept,,,4332531,Urine cytologic material,
Specimen concept,URINE,,45955894,Urine,
Specimen concept,,,4161435,Specimen from trophoblast,
Specimen concept,,,4006652,Esophageal cytologic material,
Specimen concept,,,4287034,"Specimen from pancreas obtained by pancreaticoduodenectomy, partial pancreatectomy",
Specimen concept,,,4007925,Prostate cytologic material,
Specimen concept,,,4007930,Peritoneal cytologic material,
Specimen concept,BLD,,4046834,Capillary blood specimen,
Specimen concept,,,4119517,Perineal swab,
Specimen concept,,,4202634,Transbronchial lung biopsy sample,
Specimen concept,,,4121355,Goat's milk sample,
Specimen concept,,,4122256,Vesicle fluid sample,
Specimen concept,,,4232242,Tissue specimen obtained by excision,
Specimen concept,BODY_FLD,,4124262,Jejunal fluid sample,
Specimen concept,,,4183341,Tissue specimen obtained from vulva by biopsy,
Specimen concept,,,4206419,Jejunal biopsy sample,
Specimen concept,,,4001062,Saliva specimen,
Specimen concept,,,762922,Popliteal cyst fluid,
Specimen concept,,,4218860,Specimen from thymus gland obtained by transthoracic needle biopsy,
Specimen concept,,,43021112,Swab from blister,
Specimen concept,,,4120345,Low vaginal swab,
Specimen concept,,,4119549,Cream sample,
Specimen concept,,,44792596,Synovial joint crystals sample,
Specimen concept,,,4046280,Urine specimen,
Specimen concept,,,46270240,Specimen from lingula obtained by transbronchial biopsy,
Specimen concept,,,4204340,Colonic polyp sample,
Specimen concept,BLD,,4119548,Intravenous lipid infusion fluid sample,
Specimen concept,,,4199053,Specimen from nasal sinus obtained by fine needle aspiration biopsy,
Specimen concept,,,45475467,Peritoneal fluid sample,
Specimen concept,,,4298499,Specimen from lung obtained by needle biopsy using computed tomography guidance,
Specimen concept,,,4206410,Resected lung sample,
Specimen concept,URINE,,4332531,Urine cytologic material,
Specimen concept,,,4046383,Specimen from rectum obtained by transanal disk excision,
Specimen concept,CVX_VAG,,46270188,Endocervical polyp sample,
Specimen concept,,,45955894,Urine,
Specimen concept,,,4122372,Intravenous infusion fluid sample,
Specimen concept,BODY_FLD,,40483837,Dialysis fluid specimen obtained after dialysis,
Specimen concept,,,4046483,Specimen from vagina obtained by vaginectomy,
Specimen concept,,,4330243,Specimen from bone obtained by fine needle aspiration biopsy,
Specimen concept,,,4133747,Tissue specimen from uterine cervix,
Specimen concept,,,4001183,Specimen from abscess,
Specimen concept,BODY_FLD,,4217277,Specimen from extrahepatic bile duct obtained by segmental resection of bile ducts,
Specimen concept,,,764441,Swab from foot,
Specimen concept,,,37118648,Fluid specimen from perinephric region,
Specimen concept,,,43021134,Substance specimen obtained from device,
Specimen concept,BODY_FLD,,44808818,Semen specimen,
Specimen concept,,,4119376,Hair bulb sample,
Specimen concept,,,4246704,Specimen from renal pelvis obtained by biopsy,
Specimen concept,,,4046849,Specimen from pleura obtained by fine needle aspiration procedure,
Specimen concept,,,46270232,Specimen from liver obtained by needle aspiration biopsy,
Specimen concept,,,762636,Fluid feces specimen,
Specimen concept,,,4124277,Vaginal swab,
Specimen concept,,,4007433,Pharyngeal cytologic material,
Specimen concept,,,4045775,Specimen from distal ileum obtained by right hemicolectomy,
Specimen concept,,,40482922,Blood specimen with EDTA,
Specimen concept,,,4046859,Specimen from colon obtained by right hemicolectomy,
Specimen concept,,,4206417,Gastric ulcer sample,
Specimen concept,TISSUE,,4183341,Tissue specimen obtained from vulva by biopsy,
Specimen concept,BODY_FLD,,45521956,Knee joint synovial fluid,
Specimen concept,,,42535868,Specimen from mass of retroperitoneum,
Specimen concept,,,4336060,Specimen from spleen,
Specimen concept,TISSUE,,4232242,Tissue specimen obtained by excision,
Specimen concept,,,4205092,Cervical polyp sample,
Specimen concept,URINE,,4046280,Urine specimen,
Specimen concept,,,4045883,Specimen from right fallopian tube obtained by salpingo-oophorectomy,
Specimen concept,TISSUE,,4326843,Core sample of tissue block,
Specimen concept,,,4056121,Peritoneal dialysate sample,
Specimen concept,,,45438661,Iliac crest bone marrow,
Specimen concept,,,46273624,Twenty four hours specimen,
Specimen concept,,,4046943,Specimen from vagina obtained by excisional biopsy of lesion,
Specimen concept,,,4004346,Ureter cytologic material,
Specimen concept,,,4256779,Specimen obtained by amputation,
Specimen concept,,,46270200,Specimen from breast obtained by resection of inferior margin,
Specimen concept,TISSUE,,40480027,Formalin-fixed paraffin-embedded tissue specimen,
Specimen concept,,,44806863,Cell sample,
Specimen concept,,,4153427,Rib bone marrow sample,
Specimen concept,TISSUE,,46270236,Frozen tissue section sample,
Specimen concept,CVX_VAG,,4046946,Specimen from uterine cervix obtained by pelvic exenteration,
Specimen concept,,,4002874,Colostrum specimen,
Specimen concept,,,4124285,Fecal concretion sample,
Specimen concept,URINE,,42536916,Swab of vascular catheter insertion site,
Specimen concept,,,43021079,Swab from lower leg,
Specimen concept,,,46270296,Specimen of mucosa of nasal sinus obtained by biopsy,
Specimen concept,,,4132708,Tissue specimen from thyroid gland,
Specimen concept,,,4002219,Menstrual blood specimen,
Specimen concept,BODY_FLD,,40490309,Fluid specimen from mucocele of lacrimal sac,
Specimen concept,,,4204329,Laryngectomy sample,
Specimen concept,,,4046837,Fluid specimen from wound,
Specimen concept,,,4119523,Dermatological sample,
Specimen concept,,,4332231,Specimen from skeletal muscle obtained by biopsy,
Specimen concept,,,46270217,Specimen from cartilage obtained by shave excision,
Specimen concept,,,4197998,Ascitic fluid cytologic material,
Specimen concept,,,42537789,Foetal blood specimen,
Specimen concept,,,4122276,Gingivocrevicular fluid sample,
Specimen concept,,,4206296,Hydrocele sample,
Specimen concept,TISSUE,,762923,Tissue specimen from mass,
Specimen concept,,,4046484,Specimen from vagina obtained by radical vaginectomy,
Specimen concept,,,4002880,Pancreatic fluid specimen,
Specimen concept,,,4198922,Specimen from omentum,
Specimen concept,,,4219606,Specimen from ureter obtained by ureterectomy,
Specimen concept,,,4105822,Breast cyst fluid sample,
Specimen concept,TISSUE,,4001354,Tissue specimen from skin,
Specimen concept,,,4121348,Parasite sample,
Specimen concept,,,4206414,Gastrointestinal direct smear,
Specimen concept,,,4205085,Sigmoid colon biopsy sample,
Specimen concept,,,37116674,Cytologic material from neck obtained by fine needle aspiration,
Specimen concept,,,4028079,Tissue specimen from anus,
Specimen concept,,,4204961,Ileal resection sample,
Specimen concept,BLD,,43021144,Central venous catheter tip submitted as specimen,
Specimen concept,,,46270306,Specimen from mediastinal lymph node obtained by endotracheal aspiration biopsy,
Specimen concept,BODY_FLD,,40488341,Body fluid specimen obtained via cholecytosomy tube,
Specimen concept,,,4045771,Specimen from pleura obtained by thoracoscopic procedure,
Specimen concept,,,4124275,Coronal sulcus of penis swab,
Specimen concept,,,46270258,Specimen from left lower lobe of lung obtained by bronchial washing procedure,
Specimen concept,URINE,,40481783,2 hour urine specimen,
Specimen concept,,,762932,Nasal and throat swab,
Specimen concept,,,4124253,Heart valve tissue,
Specimen concept,,,4246378,Specimen obtained by incisional biopsy,
Specimen concept,BLD,,4001226,Mixed venous blood specimen,
Specimen concept,,,4230572,Tissue specimen from liver obtained by excision,
